Country,Number_of_stores,First_store_opening_date,Number_of_stores_per_million_pop,col,scaled_col,animal
Gibraltar,1,13/08/1999,496.278,496,41,person
Gibraltar,1,14/08/1999,496.278,496,40,person
Gibraltar,1,15/08/1999,496.278,496,39,person
Gibraltar,1,16/08/1999,496.278,496,38,person
Gibraltar,1,17/08/1999,496.278,496,37,person
Gibraltar,1,18/08/1999,496.278,496,36,person
Gibraltar,1,19/08/1999,496.278,496,35,person
Gibraltar,1,20/08/1999,496.278,496,34,person
Gibraltar,1,21/08/1999,496.278,496,33,person
Gibraltar,1,22/08/1999,496.278,496,32,person
Gibraltar,1,23/08/1999,496.278,496,31,person
Gibraltar,1,24/08/1999,496.278,496,30,person
Gibraltar,1,25/08/1999,496.278,496,29,person
Gibraltar,1,26/08/1999,496.278,496,28,person
Gibraltar,1,27/08/1999,496.278,496,27,person
Gibraltar,1,28/08/1999,496.278,496,26,person
Gibraltar,1,29/08/1999,496.278,496,25,person
Gibraltar,1,30/08/1999,496.278,496,24,person
Gibraltar,1,31/08/1999,496.278,496,23,person
Gibraltar,1,1/09/1999,496.278,496,22,person
Gibraltar,1,2/09/1999,496.278,496,21,person
Gibraltar,1,3/09/1999,496.278,496,20,person
Gibraltar,1,4/09/1999,496.278,496,19,person
Gibraltar,1,5/09/1999,496.278,496,18,person
Gibraltar,1,6/09/1999,496.278,496,17,person
Gibraltar,1,7/09/1999,496.278,496,16,person
Gibraltar,1,8/09/1999,496.278,496,15,person
Gibraltar,1,9/09/1999,496.278,496,14,person
Gibraltar,1,10/09/1999,496.278,496,13,person
Gibraltar,1,11/09/1999,496.278,496,12,person
Gibraltar,1,12/09/1999,496.278,496,11,person
Gibraltar,1,13/09/1999,496.278,496,10,person
Gibraltar,1,14/09/1999,496.278,496,9,person
Gibraltar,1,15/09/1999,496.278,496,8,person
Gibraltar,1,16/09/1999,496.278,496,7,person
Gibraltar,1,17/09/1999,496.278,496,6,person
Gibraltar,1,18/09/1999,496.278,496,5,person
Gibraltar,1,19/09/1999,496.278,496,4,person
Gibraltar,1,20/09/1999,496.278,496,3,person
Gibraltar,1,21/09/1999,496.278,496,2,person
Gibraltar,1,22/09/1999,496.278,496,1,person
Andorra,5,29/06/1984,63.886,64,5,person
Andorra,5,30/06/1984,63.886,64,4,person
Andorra,5,1/07/1984,63.886,64,3,person
Andorra,5,2/07/1984,63.886,64,2,person
Andorra,5,3/07/1984,63.886,64,1,person
Monaco,2,20/11/1992,52.219,52,4,person
Monaco,2,21/11/1992,52.219,52,3,person
Monaco,2,22/11/1992,52.219,52,2,person
Monaco,2,23/11/1992,52.219,52,1,person
United States of America,13375,15/05/1940,40.807,41,3,person
United States of America,13375,16/05/1940,40.807,41,2,person
United States of America,13375,17/05/1940,40.807,41,1,person
Canada,1458,3/06/1967,39.179,39,3,person
Canada,1458,4/06/1967,39.179,39,2,person
Canada,1458,5/06/1967,39.179,39,1,person
Australia,981,30/05/1971,39.163,39,3,person
Australia,981,31/05/1971,39.163,39,2,person
Australia,981,1/06/1971,39.163,39,1,person
New Zealand,166,7/06/1976,33.87,34,3,person
New Zealand,166,7/06/1976,33.87,34,2,person
New Zealand,166,7/06/1976,33.87,34,1,person
Qatar,63,13/12/1995,25.711,26,2,person
Qatar,63,13/12/1995,25.711,26,1,person
Liechtenstein,1,3/05/1996,26.239,26,2,person
Liechtenstein,1,3/05/1996,26.239,26,1,person
Singapore,136,20/10/1979,24.233,24,2,person
Singapore,136,20/10/1979,24.233,24,1,person
,,,,,,
,,,,,,
